Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getRecentPosts,2,7367,600,14134,6767.00,0.000%,.12021,0.51,0.03,4385.0
getPostsByUser,2,159,144,175,15.50,0.000%,.12362,1.04,0.03,8655.5
getDiariesByFriends,2,971,531,1411,440.00,0.000%,.12095,0.08,0.03,714.0
getDiariesByUser,2,854,303,1405,551.00,0.000%,.12098,0.08,0.03,714.0
updatePost,2,483,274,693,209.50,0.000%,.11818,0.12,0.06,1050.5
createPost,2,386,296,477,90.50,0.000%,.11802,0.12,0.04,1056.0
deletePost,2,448,410,487,38.50,0.000%,.11794,0.08,0.03,717.0
updateUser,2,462,415,509,47.00,0.000%,.11725,0.12,0.04,1075.0
getUserById,2,218,205,232,13.50,0.000%,.11872,0.12,0.03,1075.0
getUserByName,2,228,220,236,8.00,0.000%,.11884,0.12,0.03,1075.0
removeVote,2,99,84,114,15.00,100.000%,.11972,0.09,0.04,729.0
addVote,2,343,282,405,61.50,0.000%,.11747,0.10,0.04,848.0
getVote,2,164,111,217,53.00,0.000%,.11868,0.10,0.03,848.0
getVotesByPid,2,164,120,208,44.00,0.000%,.11872,0.10,0.03,864.0
getFriendByStatus,2,396,377,416,19.50,0.000%,.11666,0.13,0.03,1119.0
getFriendship,2,263,257,270,6.50,0.000%,.11752,0.10,0.03,898.0
deleteFriendship,2,504,354,655,150.50,0.000%,.11492,0.08,0.09,716.0
sendFriendRequest,2,231,149,314,82.50,0.000%,.11519,0.10,0.03,892.0
updateFriendRequest,2,351,320,382,31.00,0.000%,.11410,0.10,0.04,902.0
updateComment,2,480,206,755,274.50,0.000%,.11173,0.11,0.06,1028.0
deleteComment,2,94,74,114,20.00,100.000%,.11256,0.08,0.05,729.0
createComment,2,388,379,397,9.00,0.000%,.11091,0.11,0.04,1033.0
getCommentById,2,197,189,206,8.50,0.000%,.11218,0.11,0.03,1024.0
getCommentsByPid,2,1765,1660,1870,105.00,0.000%,.10372,1.08,0.03,10681.0
getCommentsByUid,2,557,239,876,318.50,0.000%,.11330,2.26,0.03,20417.5
GetAwardById,2,300,219,382,81.50,0.000%,.11768,0.11,0.03,962.0
getAwardsByUser,2,227,187,268,40.50,0.000%,.11848,0.41,0.03,3578.0
getNewAwardsByUser,2,5594,5478,5711,116.50,0.000%,.09020,0.08,0.02,857.0
getAwardsByPost,2,432,431,433,1.00,0.000%,.11839,0.21,0.03,1844.0
TOTAL,58,832,74,14134,2031.67,6.897%,1.37591,3.27,0.43,2430.6
