Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getRecentPosts,4,1224,1092,1437,132.16,0.000%,.77086,3.30,0.19,4385.0
getPostsByUser,4,3676,93,14056,5993.42,0.000%,.25898,2.37,0.06,9377.5
getDiariesByFriends,4,731,452,986,204.97,0.000%,.25659,0.18,0.07,714.0
getDiariesByUser,4,731,530,1090,214.11,0.000%,.26273,0.18,0.07,714.0
updatePost,4,193,77,273,71.86,0.000%,.27102,0.28,0.15,1050.8
createPost,4,3515,159,13102,5535.99,0.000%,.26936,0.28,0.10,1057.0
deletePost,4,569,286,1320,433.89,0.000%,.31974,0.22,0.08,717.0
updateUser,4,445,238,714,181.29,0.000%,.32028,0.34,0.10,1075.0
getUserById,4,256,185,365,66.72,0.000%,.32170,0.34,0.08,1075.0
getUserByName,4,249,149,328,65.18,0.000%,.32717,0.34,0.08,1075.0
removeVote,4,93,74,122,19.50,100.000%,.33256,0.24,0.10,729.0
addVote,4,611,514,702,85.99,0.000%,.31736,0.26,0.11,848.0
getVote,4,249,197,313,41.89,0.000%,.32547,0.27,0.09,848.0
getVotesByPid,4,169,96,257,60.94,0.000%,.32860,0.28,0.08,864.0
getFriendByStatus,4,557,269,1113,329.25,0.000%,.30324,0.33,0.08,1119.0
getFriendship,4,219,148,298,65.66,0.000%,.30727,0.26,0.08,857.5
deleteFriendship,4,411,246,564,142.50,0.000%,.29775,0.21,0.22,716.0
sendFriendRequest,4,546,473,602,46.97,0.000%,.29089,0.25,0.09,891.8
updateFriendRequest,4,310,101,468,132.35,0.000%,.29663,0.26,0.09,901.8
updateComment,4,242,125,365,84.92,0.000%,.30432,0.31,0.16,1027.8
deleteComment,4,115,77,170,33.91,100.000%,.30748,0.22,0.15,729.0
createComment,4,533,187,1250,425.61,0.000%,.30708,0.31,0.11,1032.5
getCommentById,4,230,86,354,95.59,0.000%,.33247,0.33,0.08,1024.0
getCommentsByPid,4,2728,2359,3140,316.42,0.000%,.28249,3.27,0.07,11847.0
getCommentsByUid,4,288,186,378,73.19,0.000%,.34480,7.27,0.09,21583.0
GetAwardById,4,217,103,336,84.00,0.000%,.34680,0.33,0.08,962.0
getAwardsByUser,4,225,147,263,45.65,0.000%,.34956,1.31,0.09,3843.5
getNewAwardsByUser,4,7395,6274,8498,787.81,0.000%,.20917,0.16,0.05,778.2
getAwardsByPost,4,419,280,676,158.34,0.000%,.31196,0.56,0.08,1844.0
TOTAL,116,936,74,14056,2165.83,6.897%,2.65361,6.58,0.84,2540.9
