Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getRecentPosts,1,14641,14641,14641,0.00,0.000%,.06830,0.29,0.02,4385.0
getPostsByUser,1,809,809,809,0.00,0.000%,1.23609,9.79,0.30,8114.0
getDiariesByFriends,1,1493,1493,1493,0.00,0.000%,.66979,0.47,0.18,714.0
getDiariesByUser,1,615,615,615,0.00,0.000%,1.62602,1.13,0.44,714.0
updatePost,1,798,798,798,0.00,0.000%,1.25313,1.29,0.68,1051.0
createPost,1,296,296,296,0.00,0.000%,3.37838,3.49,1.27,1057.0
deletePost,1,454,454,454,0.00,0.000%,2.20264,1.54,0.52,717.0
updateUser,1,556,556,556,0.00,0.000%,1.79856,1.89,0.55,1075.0
getUserById,1,279,279,279,0.00,0.000%,3.58423,3.76,0.86,1075.0
getUserByName,1,270,270,270,0.00,0.000%,3.70370,3.89,0.87,1075.0
removeVote,1,195,195,195,0.00,100.000%,5.12821,3.65,1.59,729.0
addVote,1,337,337,337,0.00,0.000%,2.96736,2.46,1.04,848.0
getVote,1,311,311,311,0.00,0.000%,3.21543,2.66,0.92,848.0
getVotesByPid,1,274,274,274,0.00,0.000%,3.64964,3.08,0.89,864.0
getFriendByStatus,1,500,500,500,0.00,0.000%,2.00000,2.19,0.50,1119.0
getFriendship,1,370,370,370,0.00,0.000%,2.70270,2.37,0.70,898.0
deleteFriendship,1,537,537,537,0.00,0.000%,1.86220,1.30,1.43,716.0
sendFriendRequest,1,518,518,518,0.00,0.000%,1.93050,1.68,0.58,891.0
updateFriendRequest,1,357,357,357,0.00,0.000%,2.80112,2.47,0.89,902.0
updateComment,1,633,633,633,0.00,0.000%,1.57978,1.59,0.84,1028.0
deleteComment,1,516,516,516,0.00,100.000%,1.93798,1.38,0.98,729.0
createComment,1,371,371,371,0.00,0.000%,2.69542,2.72,0.96,1033.0
getCommentById,1,454,454,454,0.00,0.000%,2.20264,2.20,0.54,1024.0
getCommentsByPid,1,2015,2015,2015,0.00,0.000%,.49628,4.93,0.12,10181.0
getCommentsByUid,1,400,400,400,0.00,0.000%,2.50000,48.63,0.62,19918.0
GetAwardById,1,254,254,254,0.00,0.000%,3.93701,3.70,0.96,962.0
getAwardsByUser,1,375,375,375,0.00,0.000%,2.66667,8.95,0.66,3438.0
getNewAwardsByUser,1,5753,5753,5753,0.00,0.000%,.17382,0.12,0.04,714.0
getAwardsByPost,1,334,334,334,0.00,0.000%,2.99401,4.57,0.74,1563.0
TOTAL,29,1197,195,14641,2738.57,6.897%,.67033,1.54,0.21,2358.0
